	Node1	Node2
345	PF00474	TIGR02711
346	TIGR00813	TIGR02711
347	TIGR00813	PF00474
348	TIGR02711	TIGR00813
349	TIGR02711	PF00474
350	PF00474	TIGR00813
351	PF00474	TIGR02711
352	COG4147	TIGR00813
353	COG4147	TIGR02711
354	COG4147	PF00474
355	TIGR00813	COG4147
356	TIGR00813	TIGR02711
357	TIGR00813	PF00474
358	TIGR02711	COG4147
359	TIGR02711	TIGR00813
360	TIGR02711	PF00474
361	PF00474	COG4147
362	PF00474	TIGR00813
363	PF00474	TIGR02711
364	TIGR00813	TIGR02711
365	TIGR00813	PF00474
366	TIGR02711	TIGR00813
367	TIGR02711	PF00474
368	PF00474	TIGR00813
369	PF00474	TIGR02711
370	TIGR00813	TIGR02711
371	TIGR00813	PF00474
372	TIGR02711	TIGR00813
373	TIGR02711	PF00474
374	PF00474	TIGR00813
375	PF00474	TIGR02711
376	COG0531	PF13520
377	PF13520	COG0531
378	COG0531	PF13520
379	PF13520	COG0531
380	PF01061	PF00005
381	PF00005	PF01061
382	PF01547	COG1653
383	COG1653	PF01547
384	PF00324	TIGR00913
385	TIGR00913	PF00324
386	PF00324	TIGR00913
387	TIGR00913	PF00324
388	PF00324	TIGR00913
389	TIGR00913	PF00324
390	PF02932	PF02931
391	PF02932	TIGR00860
392	PF02931	PF02932
393	PF02931	TIGR00860
394	TIGR00860	PF02932
395	TIGR00860	PF02931
396	PF02932	PF02931
397	PF02932	TIGR00860
398	PF02931	PF02932
399	PF02931	TIGR00860
400	TIGR00860	PF02932
401	TIGR00860	PF02931
402	PF02932	PF02931
403	PF02932	TIGR00860
404	PF02931	PF02932
405	PF02931	TIGR00860
406	TIGR00860	PF02932
407	TIGR00860	PF02931
408	PF02932	PF02931
409	PF02932	TIGR00860
410	PF02931	PF02932
411	PF02931	TIGR00860
412	TIGR00860	PF02932
413	TIGR00860	PF02931
414	PF02932	PF02931
415	PF02931	PF02932
416	PF02932	PF02931
417	PF02931	PF02932
418	PF02932	PF02931
419	PF02931	PF02932
420	COG1566	TIGR01730
421	TIGR01730	COG1566
422	TIGR00907	PF13520
423	PF13520	TIGR00907
424	PF01490	COG0814
425	COG0814	PF01490
426	COG0531	TIGR00905
427	COG0531	PF13520
428	TIGR00905	COG0531
429	TIGR00905	PF13520
430	PF13520	COG0531
431	PF13520	TIGR00905
432	COG0531	TIGR00905
433	COG0531	PF13520
434	TIGR00905	COG0531
435	TIGR00905	PF13520
436	PF13520	COG0531
437	PF13520	TIGR00905
438	TIGR00905	PF13520
439	PF13520	TIGR00905
440	PF00005	PF00664
441	PF00005	COG1132
442	PF00664	PF00005
