	Node1	Node2
473	PF00005	COG1132
474	PF00664	PF00005
475	PF00664	COG1132
476	COG1132	PF00005
477	COG1132	PF00664
478	PF00005	COG1131
479	COG1131	PF00005
480	TIGR00955	PF00005
481	TIGR00955	PF01061
482	TIGR00955	COG1131
483	PF00005	TIGR00955
484	PF00005	PF01061
485	PF00005	COG1131
486	PF01061	TIGR00955
487	PF01061	PF00005
488	PF01061	COG1131
489	COG1131	TIGR00955
490	COG1131	PF00005
491	COG1131	PF01061
492	COG0842	PF00005
493	COG0842	PF01061
494	COG0842	PF14510
495	COG0842	PF08370
496	PF00005	COG0842
497	PF00005	PF01061
498	PF00005	PF14510
499	PF00005	PF08370
500	PF01061	COG0842
501	PF01061	PF00005
502	PF01061	PF14510
503	PF01061	PF08370
504	PF14510	COG0842
505	PF14510	PF00005
506	PF14510	PF01061
507	PF14510	PF08370
508	PF08370	COG0842
509	PF08370	PF00005
510	PF08370	PF01061
511	PF08370	PF14510
512	PF06472	PF00005
513	PF06472	COG4178
514	PF00005	PF06472
515	PF00005	COG4178
516	COG4178	PF06472
517	COG4178	PF00005
518	PF00005	COG0488
519	COG0488	PF00005
520	PF00005	PF01061
521	PF00005	COG1131
522	PF01061	PF00005
523	PF01061	COG1131
524	COG1131	PF00005
525	COG1131	PF01061
526	COG0842	PF00005
527	COG0842	PF01061
528	COG0842	PF14510
529	COG0842	PF08370
530	PF00005	COG0842
531	PF00005	PF01061
532	PF00005	PF14510
533	PF00005	PF08370
534	PF01061	COG0842
535	PF01061	PF00005
536	PF01061	PF14510
537	PF01061	PF08370
538	PF14510	COG0842
539	PF14510	PF00005
540	PF14510	PF01061
541	PF14510	PF08370
542	PF08370	COG0842
543	PF08370	PF00005
544	PF08370	PF01061
545	PF08370	PF14510
546	PF00005	PF01061
547	PF00005	COG1131
548	PF01061	PF00005
549	PF01061	COG1131
550	COG1131	PF00005
551	COG1131	PF01061
552	COG0842	PF00005
553	COG0842	PF01061
554	COG0842	PF14510
555	COG0842	PF08370
556	PF00005	COG0842
557	PF00005	PF01061
558	PF00005	PF14510
559	PF00005	PF08370
560	PF01061	COG0842
561	PF01061	PF00005
562	PF01061	PF14510
563	PF01061	PF08370
564	PF14510	COG0842
565	PF14510	PF00005
566	PF14510	PF01061
567	PF14510	PF08370
568	PF08370	COG0842
569	PF08370	PF00005
570	PF08370	PF01061
571	PF08370	PF14510
572	COG0842	PF00005
573	COG0842	PF01061
574	COG0842	PF14510
575	COG0842	PF08370
576	PF00005	COG0842
577	PF00005	PF01061
578	PF00005	PF14510
579	PF00005	PF08370
580	PF01061	COG0842
581	PF01061	PF00005
582	PF01061	PF14510
583	PF01061	PF08370
584	PF14510	COG0842
585	PF14510	PF00005
586	PF14510	PF01061
