TransportGroup	PFAM	TIGRFAM	COG
T258			COG4170
T342	PF10599		
T318			COG4176
T319			COG4172
T223	PF01636		COG3173
T281		TIGR03004	
T29		TIGR02770	COG0444
T28	PF00375		COG1823
T21	PF05437		COG1687
T20	PF00359	TIGR01417	COG4668|COG1299|COG1925|COG1762|COG1445|COG3925|COG2213
T23	PF03739	TIGR04407|TIGR04408	COG0795
T22		TIGR01190	COG2386
T25		TIGR01256|TIGR03730	COG0725
T24	PF04051		COG5128
T27	PF01733	TIGR00939	
T26		TIGR04034	
T338	PF10032		
T339	PF16954		
T336		TIGR02857	COG4988
T337		TIGR01399	COG4789
T334	PF15171		
T335	PF05025		
T332	PF15178		
T333	PF10642		
T330			COG4778
T331		TIGR02503	
T53	PF01545		
T299			COG4597
T298	PF08566		
T295	PF12558		
T294	PF07931		
T297	PF03773		COG0701
T296	PF16166	TIGR00994	
T291	PF01061	TIGR00025	
T290	PF00593|PF07715	TIGR01783|TIGR04056|TIGR04057	
T293		TIGR00975	COG0226
T292	PF10104		
T422	PF03810|PF08389		COG5656
T208			COG4138
T209	PF01032		COG4139|COG4605|COG4606|COG0609
T423			COG0765
T202			COG1126
T203			COG1127
T200	PF00367		COG1264|COG1263
T201		TIGR02633	COG1129
T206			COG1120
T207	PF01925		COG0730
T204		TIGR01186	COG1125|COG4175
T205			COG1123
T421		TIGR04077	
T426		TIGR00897	
T427	PF03349		COG2067
T424		TIGR00895	
T425		TIGR00896	COG2807
T116	PF02064	TIGR00985	
T117			COG1455
T114			COG3833
T115	PF01749		COG5064
T112	PF02653		COG4120|COG4603|COG1079|COG1172
T113		TIGR01194	COG4615
T110			COG4161
T111			COG4160
T118	PF03806	TIGR00819	COG2978
T119	PF00437	TIGR03819	COG0630
T289			COG2893|COG3444
T417		TIGR02995	
T8	PF00005	TIGR02314	COG1135|COG1121
T9	PF00005		COG1134|COG1121
T6		TIGR01522|TIGR01106|TIGR01647	COG0474
T7	PF00005|PF16185	TIGR01192|TIGR01846|TIGR01193|TIGR02203|TIGR01166|TIGR00958|TIGR02868|TIGR04520|TIGR04521	COG4987|COG5265|COG2274|COG1121
T4	PF01891|PF00005|PF02361	TIGR02454	COG0310|COG0619|COG1121
T5	PF14510|PF08370|PF00005|PF06422|PF01061	TIGR01188|TIGR01288|TIGR03740|TIGR01257|TIGR00955	COG1121
T2	PF06218		
T3			COG0834
T0	PF03612|PF07663		COG3732
T1	PF01899	TIGR00942	COG1863
T416	PF05008		
