	Node1	Node2
350	TIGR00680	TIGR01497
351	TIGR00680	PF03814
352	TIGR01497	PF02669
353	TIGR01497	TIGR00681
354	PF02669	TIGR01497
355	PF02669	TIGR00681
356	TIGR00681	TIGR01497
357	TIGR00681	PF02669
358	PF00005	PF12558
359	PF00005	PF07155
360	PF00005	COG1122
361	PF12558	PF00005
362	PF12558	PF07155
363	PF12558	COG1122
364	PF07155	PF00005
365	PF07155	PF12558
366	PF07155	COG1122
367	COG1122	PF00005
368	COG1122	PF12558
369	COG1122	PF07155
370	PF00005	TIGR04520
371	PF00005	TIGR04521
372	PF00005	COG1122
373	TIGR04520	PF00005
374	TIGR04520	TIGR04521
375	TIGR04520	COG1122
376	TIGR04521	PF00005
377	TIGR04521	TIGR04520
378	TIGR04521	COG1122
379	COG1122	PF00005
380	COG1122	TIGR04520
381	COG1122	TIGR04521
382	PF00005	COG1129
383	PF00005	PF05025
384	COG1129	PF00005
385	COG1129	PF05025
386	PF05025	PF00005
387	PF05025	COG1129
388	TIGR01497	PF03814
389	TIGR01497	TIGR00680
390	PF03814	TIGR01497
391	PF03814	TIGR00680
392	TIGR00680	TIGR01497
393	TIGR00680	PF03814
394	TIGR01497	PF02669
395	TIGR01497	TIGR00681
396	PF02669	TIGR01497
397	PF02669	TIGR00681
398	TIGR00681	TIGR01497
399	TIGR00681	PF02669
400	TIGR01497	PF02669
401	TIGR01497	TIGR00681
402	PF02669	TIGR01497
403	PF02669	TIGR00681
404	TIGR00681	TIGR01497
405	TIGR00681	PF02669
406	TIGR01497	PF03814
407	TIGR01497	TIGR00680
408	PF03814	TIGR01497
409	PF03814	TIGR00680
410	TIGR00680	TIGR01497
411	TIGR00680	PF03814
412	TIGR01497	PF02669
413	TIGR01497	TIGR00681
414	PF02669	TIGR01497
415	PF02669	TIGR00681
416	TIGR00681	TIGR01497
417	TIGR00681	PF02669
418	TIGR01497	PF03814
419	TIGR01497	TIGR00680
420	PF03814	TIGR01497
421	PF03814	TIGR00680
422	TIGR00680	TIGR01497
423	TIGR00680	PF03814
424	PF00005	PF12558
425	PF00005	PF07155
426	PF12558	PF00005
427	PF12558	PF07155
428	PF07155	PF00005
429	PF07155	PF12558
430	PF00005	TIGR04520
431	PF00005	TIGR04521
432	TIGR04520	PF00005
433	TIGR04520	TIGR04521
434	TIGR04521	PF00005
435	TIGR04521	TIGR04520
436	PF00005	PF05025
437	PF05025	PF00005
438	PF00005	TIGR04520
439	PF00005	TIGR04521
440	PF00005	COG1122
441	TIGR04520	PF00005
442	TIGR04520	TIGR04521
443	TIGR04520	COG1122
444	TIGR04521	PF00005
445	TIGR04521	TIGR04520
446	TIGR04521	COG1122
447	COG1122	PF00005
448	COG1122	TIGR04520
449	COG1122	TIGR04521
450	PF00005	COG1129
451	PF00005	PF05025
452	COG1129	PF00005
453	COG1129	PF05025
454	PF05025	PF00005
455	PF05025	COG1129
456	COG2156	COG2216
457	COG2156	TIGR00681
458	COG2156	PF02669
459	COG2156	TIGR01497
460	COG2216	COG2156
461	COG2216	TIGR00681
462	COG2216	PF02669
463	COG2216	TIGR01497
464	TIGR00681	COG2156
465	TIGR00681	COG2216
466	TIGR00681	PF02669
467	TIGR00681	TIGR01497
468	PF02669	COG2156
469	PF02669	COG2216
470	PF02669	TIGR00681
471	PF02669	TIGR01497
472	TIGR01497	COG2156
473	TIGR01497	COG2216
474	TIGR01497	TIGR00681
475	TIGR01497	PF02669
476	TIGR01497	COG2216
477	TIGR01497	PF03814
478	TIGR01497	TIGR00680
479	TIGR01497	COG2060
480	COG2216	TIGR01497
481	COG2216	PF03814
482	COG2216	TIGR00680
483	COG2216	COG2060
484	PF03814	TIGR01497
485	PF03814	COG2216
486	PF03814	TIGR00680
487	PF03814	COG2060
488	TIGR00680	TIGR01497
489	TIGR00680	COG2216
490	TIGR00680	PF03814
491	TIGR00680	COG2060
492	COG2060	TIGR01497
493	COG2060	COG2216
494	COG2060	PF03814
495	COG2060	TIGR00680
496	TIGR01497	PF03814
497	TIGR01497	TIGR00680
498	PF03814	TIGR01497
499	PF03814	TIGR00680
500	TIGR00680	TIGR01497
501	TIGR00680	PF03814
502	TIGR01497	PF02669
503	TIGR01497	TIGR00681
504	PF02669	TIGR01497
505	PF02669	TIGR00681
506	TIGR00681	TIGR01497
507	TIGR00681	PF02669
508	COG2156	COG2216
509	COG2156	TIGR00681
510	COG2156	PF02669
511	COG2156	TIGR01497
512	COG2216	COG2156
513	COG2216	TIGR00681
514	COG2216	PF02669
515	COG2216	TIGR01497
516	TIGR00681	COG2156
517	TIGR00681	COG2216
518	TIGR00681	PF02669
519	TIGR00681	TIGR01497
520	PF02669	COG2156
521	PF02669	COG2216
522	PF02669	TIGR00681
523	PF02669	TIGR01497
524	TIGR01497	COG2156
525	TIGR01497	COG2216
526	TIGR01497	TIGR00681
527	TIGR01497	PF02669
528	TIGR01497	PF02669
529	TIGR01497	TIGR00681
530	PF02669	TIGR01497
531	PF02669	TIGR00681
532	TIGR00681	TIGR01497
533	TIGR00681	PF02669
534	TIGR01497	PF03814
535	TIGR01497	TIGR00680
536	PF03814	TIGR01497
537	PF03814	TIGR00680
538	TIGR00680	TIGR01497
539	TIGR00680	PF03814
540	TIGR01497	PF02669
541	TIGR01497	TIGR00681
542	PF02669	TIGR01497
543	PF02669	TIGR00681
544	TIGR00681	TIGR01497
545	TIGR00681	PF02669
546	PF00005	TIGR04520
547	PF00005	TIGR04521
548	TIGR04520	PF00005
549	TIGR04520	TIGR04521
550	TIGR04521	PF00005
551	TIGR04521	TIGR04520
552	TIGR01497	PF03814
553	TIGR01497	TIGR00680
554	PF03814	TIGR01497
555	PF03814	TIGR00680
556	TIGR00680	TIGR01497
557	TIGR00680	PF03814
558	PF00005	PF05025
559	PF05025	PF00005
560	PF00005	COG1117
561	PF00005	TIGR00972
562	COG1117	PF00005
563	COG1117	TIGR00972
564	TIGR00972	PF00005
565	TIGR00972	COG1117
566	PF00005	COG1129
567	PF00005	PF05025
568	COG1129	PF00005
569	COG1129	PF05025
570	PF05025	PF00005
571	PF05025	COG1129
572	PF00528	COG1175
573	PF00528	COG0395
574	COG1175	PF00528
575	COG1175	COG0395
576	COG0395	PF00528
577	COG0395	COG1175
578	PF00528	PF00005
579	PF00528	COG0600
580	PF00528	COG1116
581	PF00005	PF00528
582	PF00005	COG0600
583	PF00005	COG1116
584	COG0600	PF00528
585	COG0600	PF00005
586	COG0600	COG1116
587	COG1116	PF00528
588	COG1116	PF00005
589	COG1116	COG0600
590	PF00528	COG0715
591	PF00528	COG0600
592	COG0715	PF00528
593	COG0715	COG0600
594	COG0600	PF00528
595	COG0600	COG0715
596	PF00005	COG1129
597	PF00005	PF05025
598	COG1129	PF00005
599	COG1129	PF05025
600	PF05025	PF00005
601	PF05025	COG1129
602	TIGR04520	COG1132
603	TIGR04520	PF00005
604	TIGR04520	TIGR04521
605	TIGR04520	COG1122
606	COG1132	TIGR04520
607	COG1132	PF00005
608	COG1132	TIGR04521
609	COG1132	COG1122
610	PF00005	TIGR04520
611	PF00005	COG1132
612	PF00005	TIGR04521
613	PF00005	COG1122
614	TIGR04521	TIGR04520
615	TIGR04521	COG1132
616	TIGR04521	PF00005
617	TIGR04521	COG1122
618	COG1122	TIGR04520
619	COG1122	COG1132
620	COG1122	PF00005
621	COG1122	TIGR04521
622	PF00005	PF02687
623	PF00005	COG1136
624	PF02687	PF00005
625	PF02687	COG1136
626	COG1136	PF00005
627	COG1136	PF02687
628	PF00005	COG0715
629	PF00005	COG1116
630	COG0715	PF00005
631	COG0715	COG1116
632	COG1116	PF00005
633	COG1116	COG0715
634	PF00005	COG1108
635	PF00005	COG1121
636	PF00005	PF00950
637	COG1108	PF00005
638	COG1108	COG1121
639	COG1108	PF00950
640	COG1121	PF00005
641	COG1121	COG1108
642	COG1121	PF00950
643	PF00950	PF00005
644	PF00950	COG1108
645	PF00950	COG1121
646	PF00528	COG1653
647	PF00528	PF01547
648	PF00528	COG0395
649	COG1653	PF00528
650	COG1653	PF01547
651	COG1653	COG0395
652	PF01547	PF00528
653	PF01547	COG1653
654	PF01547	COG0395
655	COG0395	PF00528
656	COG0395	COG1653
657	COG0395	PF01547
658	PF00437	COG1459
659	PF00437	PF00482
660	PF00437	COG2804
661	COG1459	PF00437
662	COG1459	PF00482
663	COG1459	COG2804
664	PF00482	PF00437
665	PF00482	COG1459
666	PF00482	COG2804
667	COG2804	PF00437
668	COG2804	COG1459
669	COG2804	PF00482
670	PF00005	TIGR04520
671	PF00005	TIGR04521
672	PF00005	COG1122
673	TIGR04520	PF00005
674	TIGR04520	TIGR04521
675	TIGR04520	COG1122
676	TIGR04521	PF00005
677	TIGR04521	TIGR04520
678	TIGR04521	COG1122
679	COG1122	PF00005
680	COG1122	TIGR04520
681	COG1122	TIGR04521
682	PF00005	COG1129
683	PF00005	PF05025
684	COG1129	PF00005
685	COG1129	PF05025
686	PF05025	PF00005
687	PF05025	COG1129
688	PF00005	COG1117
689	PF00005	TIGR00972
690	COG1117	PF00005
691	COG1117	TIGR00972
692	TIGR00972	PF00005
693	TIGR00972	COG1117
694	PF00005	COG1117
695	PF00005	TIGR00972
696	COG1117	PF00005
697	COG1117	TIGR00972
698	TIGR00972	PF00005
699	TIGR00972	COG1117
700	PF00005	COG1129
701	PF00005	PF05025
702	COG1129	PF00005
703	COG1129	PF05025
704	PF05025	PF00005
705	PF05025	COG1129
706	PF00005	TIGR04520
707	PF00005	TIGR04521
708	PF00005	COG1122
709	TIGR04520	PF00005
710	TIGR04520	TIGR04521
711	TIGR04520	COG1122
712	TIGR04521	PF00005
713	TIGR04521	TIGR04520
714	TIGR04521	COG1122
715	COG1122	PF00005
716	COG1122	TIGR04520
717	COG1122	TIGR04521
718	COG1863	PF01899
719	COG1863	COG0651
720	COG1863	PF00361
721	PF01899	COG1863
722	PF01899	COG0651
723	PF01899	PF00361
724	COG0651	COG1863
725	COG0651	PF01899
726	COG0651	PF00361
727	PF00361	COG1863
728	PF00361	PF01899
729	PF00361	COG0651
730	COG0651	PF00361
731	COG0651	COG1006
732	PF00361	COG0651
733	PF00361	COG1006
734	COG1006	COG0651
735	COG1006	PF00361
736	PF00528	COG1173
737	PF00528	PF12911
738	PF00528	COG0601
739	COG1173	PF00528
740	COG1173	PF12911
741	COG1173	COG0601
742	PF12911	PF00528
743	PF12911	COG1173
744	PF12911	COG0601
745	COG0601	PF00528
746	COG0601	COG1173
747	COG0601	PF12911
748	COG0651	PF00361
749	COG0651	COG2212
750	PF00361	COG0651
751	PF00361	COG2212
752	COG2212	COG0651
753	COG2212	PF00361
754	COG2111	TIGR00940
755	COG2111	PF00361
756	COG2111	PF04039
757	COG2111	COG1009
758	TIGR00940	COG2111
759	TIGR00940	PF00361
760	TIGR00940	PF04039
761	TIGR00940	COG1009
762	PF00361	COG2111
763	PF00361	TIGR00940
764	PF00361	PF04039
765	PF00361	COG1009
766	PF04039	COG2111
767	PF04039	TIGR00940
768	PF04039	PF00361
769	PF04039	COG1009
770	COG1009	COG2111
771	COG1009	TIGR00940
772	COG1009	PF00361
773	COG1009	PF04039
774	COG1320	PF03334
775	COG1320	TIGR01300
776	COG1320	COG2212
777	PF03334	COG1320
778	PF03334	TIGR01300
779	PF03334	COG2212
780	TIGR01300	COG1320
781	TIGR01300	PF03334
782	TIGR01300	COG2212
783	COG2212	COG1320
784	COG2212	PF03334
785	COG2212	TIGR01300
786	PF01899	COG1863
787	PF01899	COG2212
788	COG1863	PF01899
789	COG1863	COG2212
790	COG2212	PF01899
791	COG2212	COG1863
792	COG1320	PF01899
793	COG1320	COG1863
794	COG1320	PF03334
795	COG1320	TIGR01300
796	PF01899	COG1320
797	PF01899	COG1863
798	PF01899	PF03334
799	PF01899	TIGR01300
800	COG1863	COG1320
801	COG1863	PF01899
802	COG1863	PF03334
803	COG1863	TIGR01300
804	PF03334	COG1320
805	PF03334	PF01899
806	PF03334	COG1863
807	PF03334	TIGR01300
808	TIGR01300	COG1320
809	TIGR01300	PF01899
810	TIGR01300	COG1863
811	TIGR01300	PF03334
812	COG2111	PF04039
813	COG2111	COG1006
814	PF04039	COG2111
815	PF04039	COG1006
816	COG1006	COG2111
817	COG1006	PF04039
818	COG0651	COG2111
819	COG0651	PF00361
820	COG0651	PF04039
821	COG2111	COG0651
822	COG2111	PF00361
823	COG2111	PF04039
824	PF00361	COG0651
825	PF00361	COG2111
826	PF00361	PF04039
827	PF04039	COG0651
828	PF04039	COG2111
829	PF04039	PF00361
830	COG1009	COG2111
831	COG1009	TIGR00940
832	COG1009	PF00361
833	COG1009	COG1006
834	COG2111	COG1009
835	COG2111	TIGR00940
836	COG2111	PF00361
837	COG2111	COG1006
838	TIGR00940	COG1009
839	TIGR00940	COG2111
840	TIGR00940	PF00361
841	TIGR00940	COG1006
842	PF00361	COG1009
843	PF00361	COG2111
844	PF00361	TIGR00940
845	PF00361	COG1006
846	COG1006	COG1009
847	COG1006	COG2111
848	COG1006	TIGR00940
849	COG1006	PF00361
850	PF00005	COG0834
851	PF00005	COG1126
852	COG0834	PF00005
853	COG0834	COG1126
854	COG1126	PF00005
855	COG1126	COG0834
856	PF02378	PF00367
857	PF02378	PF00358
858	PF02378	TIGR01417
859	PF00367	PF02378
860	PF00367	PF00358
861	PF00367	TIGR01417
862	PF00358	PF02378
863	PF00358	PF00367
864	PF00358	TIGR01417
