Tr335		PF09783		COG5073
Tr334		PF01769		
Tr337		PF01545|PF16916	TIGR01297	COG0053|COG1230
Tr336		PF01773		
Tr331				COG0411|COG0410
Tr330		PF17099		
Tr333				COG0559
Tr332		PF09930|PF03824		COG2215
Tr159		PF01970		
Tr158			TIGR01186	COG4175
Tr151				COG3263
Tr150		PF06979		
Tr153		PF13593		
Tr152			TIGR02121	
Tr155		PF05662|PF05658		
Tr154				COG4619
Tr157		PF01313	TIGR01403	COG4794
Tr156				COG1925
Tr96			TIGR00971|TIGR02139|TIGR00969|TIGR02140	COG4150|COG1613|COG0555|COG4208
Tr91			TIGR02315	COG3638
Tr412			TIGR00771	COG3069
Tr278			TIGR01842	COG4618
Tr370		PF08619	TIGR00844	
Tr373			TIGR04034	
Tr372		PF01733	TIGR00939	
Tr375		PF03934		COG3156
Tr374		PF02705	TIGR00794	COG3158
Tr377				COG2213
Tr253		PF07824		
Tr379			TIGR01190	COG2386
Tr271				COG2893|COG3444
Tr272		PF03583		
Tr273			TIGR03431	
Tr274			TIGR00025	
Tr275			TIGR04056|TIGR04057	
Tr276		PF01203		
Tr277			TIGR04060	
Tr251				COG1277
Tr256		PF08988	TIGR02501	
Tr257			TIGR00974	COG0581
Tr15		PF00892	TIGR00950	COG0697|COG2962|COG5006
Tr14		PF12621|PF14703		
Tr17		PF00860	TIGR03173|TIGR03616	COG2233|COG2252
Tr16		PF14931		
Tr11			TIGR00816	COG1275
Tr10		PF11728|PF06081		
Tr13			TIGR02769	COG1124
Tr12		PF00916	TIGR00815	COG0659
Tr255		PF11262		
Tr19				COG0651
Tr18		PF02652	TIGR00795	COG1620
Tr258				COG4177
Tr259		PF03151		
Tr199		PF00909	TIGR00836	COG0004
Tr198			TIGR00831	
Tr195				COG4136
Tr194		PF01032		COG4138|COG4779|COG4605|COG4606|COG4139|COG0609|COG4604
Tr197				COG1125
Tr196			TIGR03265|TIGR01187	COG3842|COG1176
Tr191		PF11612	TIGR01711	
