179	PF00528	TIGR01726	COG0834;COG0765
180	PF00005;PF02687;PF12704		COG1136;COG0577
181	PF02378;PF02302	TIGR00410;TIGR00359;TIGR00853	COG1440;COG1455
182	PF00005;PF00528;PF12911;PF08352	TIGR01727	COG0444;COG1173
183	PF03180;PF00528		COG2011;COG1464
184	PF01032		COG0609
185	PF00005;PF00571;PF04069	TIGR01186	COG1732;COG1125
186	PF00005;PF09819		COG1122;COG4721
187	PF01032		COG4605;COG4606
188	PF00005	TIGR04520;TIGR04521	COG1122
189	PF00005		COG1126;COG0834
190	PF00528		COG1175;COG0395
191	PF00005;PF02653		COG3845;COG4603
192	PF00005;PF01497		COG4604;COG4607
193	PF04069;PF00528		COG1732;COG1174
194	PF00528		COG1175;COG3833
195	PF00005;PF00528;PF08352	TIGR01727	COG0601;COG0444
196	PF00005;PF02361	TIGR04521	COG1122;COG0619
197	PF00528	TIGR01726	COG0765
198	PF00528;PF01547		COG1175;COG1653
199	PF00005;PF01458	TIGR01981;TIGR01978	COG0396;COG0719
200	PF03401;PF03600	TIGR00784	COG3181;COG2851
201	PF00005;PF08352	TIGR01727	COG4608;COG0444
202	PF00005		COG1126;COG0834
203	PF00005;PF02608		COG1744;COG3845
204	PF00005;PF00528	TIGR01726	COG1126;COG0765
205	PF02302;PF02255		COG1440;COG1447
206	PF01032		COG0609
207	PF01899;PF03334	TIGR01300	COG1863;COG1320
208	PF00005;PF16576	TIGR01730	COG0845;COG1136
209	PF04039;PF00420	TIGR00943	COG1006;COG2111
210	PF00005	TIGR00972	COG1117
211	PF00361;PF01899	TIGR00944	COG0651;COG1863
212	PF00528;PF01547		COG0395;COG1653
213	PF00950;PF01297		COG0803;COG1108
214	PF00528;PF12911		COG1173
215	PF00005		COG1116;COG0715
216	PF08352;PF00005	TIGR01727	COG4608;COG0444
217	PF01032;PF01497		COG0614;COG0609
218	PF00005;PF00571;PF04069	TIGR01186	COG4175;COG2113
219	PF00209;PF13520	TIGR00909	COG0531;COG0733
220	PF00528		COG1174
221	PF02417		COG2059
222	PF00005;PF00950		COG1108;COG1121
223	PF12849;PF00528	TIGR02136;TIGR00974	COG0581;COG0226
224	PF00005;PF02653		COG1172;COG1129
225	PF05524;PF00381;PF00391;PF02896	TIGR01417;TIGR01003	COG1925;COG1080
226	PF00005;PF01032		COG0609;COG1120
227	PF03830;PF03613	TIGR00828;TIGR00854	COG3716;COG3444
228	PF00528	TIGR01726	COG0834;COG0765
229	PF00528	TIGR02138;TIGR00974	COG0581;COG0573
230	PF00005;PF00528;PF00571	TIGR01186	COG1174;COG1125
231	PF00893		COG2076
232	PF00005		COG1131
233	PF00005;PF00528		COG1116;COG0600
234	PF00005;PF00324		COG1113;COG0488
235	PF00361;PF04039	TIGR00943;TIGR00944	COG0651;COG2111
236	PF01313;PF01311	TIGR01400;TIGR01402	COG1987;COG1684
237	PF02378;PF02302	TIGR00410;TIGR00359	COG1440;COG1455
238	PF02687;PF12704;PF16576	TIGR01730	COG0845;COG0577
239	PF00528;PF12911		COG0601;COG1173
240	PF00528	TIGR01726	COG0834;COG0765
241	PF02378;PF02255	TIGR00410;TIGR00359;TIGR00823	COG1455;COG1447
242	PF00005;PF01032		COG0609;COG1120
243	PF00528		COG1175;COG1653
244	PF00528		COG0600;COG0715
245	PF02080;PF02386;PF02254	TIGR00933	COG0569;COG0168
246	PF00528	TIGR01256;TIGR02141	COG0725;COG4149
247	PF08279;PF00874;PF05043;PF02302;PF00359	TIGR00853	COG3711;COG1762;COG1440
248	PF00005		COG1131;COG1277
249	PF00528;PF04069		COG1174;COG1732
250	PF00005;PF00528;PF08352	TIGR01727	COG0601;COG0444
251	PF00528		COG1175;COG0395
252	PF00005;PF02687;PF12704		COG1136;COG0577
253	PF00005		COG1131;COG0842
254	PF00528	TIGR01726	COG0834;COG0765
255	PF00528	TIGR01726	COG0765;COG0834
256	PF00005;PF03180;PF09383		COG1135;COG1464
257	PF00528;PF12911		COG0601;COG1173
258	PF00528	TIGR01726	COG0765
259	PF00950		COG1108
260	PF00528;PF01547		COG0395
261	PF00005;PF09084	TIGR01728	COG1116;COG0715
262	PF00005		COG1131;COG1277
263	PF02874;PF00006;PF02108	TIGR03497;TIGR01026;TIGR03825	COG1317
264	PF00528;PF04069		COG4176;COG2113
265	PF00005;PF02687;PF12704		COG0577;COG1136
266			COG0842
267	PF12849;PF00528	TIGR02138;TIGR02136	COG0573;COG0226
268	PF00528;PF01547		COG1175
269	PF00005;PF13732		COG1668;COG4152
270	PF02378;PF02302;PF00359	TIGR00851	COG4668;COG2213
271	PF00005;PF01297		COG0803;COG1121
272	PF00528;PF01547		COG1175;COG1653
273	PF00005;PF02687		COG0577;COG1136
274	PF00005;PF00528	TIGR00974;TIGR00972	COG1117;COG0581
275	PF00005;PF00950		COG1108;COG1121
276	PF13407;PF02653		COG1879;COG1172
277	PF01032		COG0609
278	PF00528	TIGR01726	COG0765;COG0834
279	PF00005;PF00496;PF08352	TIGR01727	COG4166;COG0444
280	PF00005;PF01032		COG1865;COG0609;COG1120
281	PF00005;PF05975		COG1131;COG4473
282	PF00005;PF02361		COG1122
283	PF00005;PF02361	TIGR04520	COG1122;COG0619
284	PF00005;PF00571;PF00528	TIGR01186	COG4176;COG4175
285	PF02653		COG4603;COG1079
286	PF00437;PF00482		COG2804;COG1459
287	PF00005	TIGR04520;TIGR04521	
288	PF00122;PF00702;PF03814	TIGR00680;TIGR01494;TIGR01497	
289	PF00005;PF05025		
290	PF00005	TIGR04520;TIGR04521	
291	PF00122;PF00702;PF03814	TIGR00680;TIGR01494;TIGR01497	
292	PF00122;PF02669;PF00702	TIGR00681;TIGR01497;TIGR01494	
293	PF00005;PF07155;PF12558		
294	PF00122;PF00702;PF02669	TIGR01497;TIGR01494;TIGR00681	COG2156;COG2216
295	PF00122;PF00702;PF03814	TIGR01494;TIGR01497;TIGR00680	COG2060;COG2216
296	PF03743;PF00437	TIGR02788	COG0630;COG2948
297	PF04610;PF04335		COG3704;COG3736
298	PF03524;PF04335	TIGR02781	COG3504;COG3736
299	PF03743;PF04335		COG2948;COG3736
300	PF03743;PF03524	TIGR02781	COG3504;COG2948
301	PF03135;PF05101	TIGR00929	COG3451;COG3702
302	PF03135;PF05101	TIGR00929	COG3451;COG3702
303	PF03743;PF03524	TIGR02781	COG3504;COG2948
304	PF03743;PF04335		COG2948;COG3736
305	PF03524;PF04335	TIGR02781	COG3504;COG3736
306	PF03743;PF00437	TIGR02788	COG0630;COG2948
307	PF04610;PF04335		COG3704;COG3736
308	PF02416	TIGR01411;TIGR01410	COG1826
309	PF03743;PF04335		COG2948;COG3736
310	PF03743;PF00437	TIGR02788	COG0630;COG2948
311	PF03743;PF03524	TIGR02781	COG3504;COG2948
312	PF03524;PF04335	TIGR02781	COG3504;COG3736
313	PF03135;PF05101	TIGR00929	
314	PF03743;PF03524	TIGR02781	COG3504;COG2948
315	PF02321	TIGR01843	COG1538
316	PF03135;PF05101	TIGR00929	COG3451;COG3702
317	PF03743;PF00437	TIGR02788	COG0630;COG2948
318	PF03743;PF04335		COG2948;COG3736
319	PF02416	TIGR01411;TIGR01410	COG1826
320	PF00005;PF03412;PF00664	TIGR01846;TIGR01843	COG2274
321	PF03524;PF04335	TIGR02781	COG3504;COG3736
322	PF05524;PF00381;PF00391;PF02896	TIGR01417;TIGR01003	COG1925;COG1080
323	PF05524;PF00391;PF00358;PF02896	TIGR01417;TIGR00830	COG2190;COG1080
324	PF02355	TIGR00966;TIGR00916;TIGR01129	COG0341;COG0342
325	PF02874;PF00006;PF02108	TIGR01026;TIGR03498	COG1157;COG1317
326	PF00005;PF03379	TIGR01190;TIGR01189	COG4133;COG2386
327	PF02080;PF06826	TIGR03802;TIGR01625	COG2985
328	PF00005;PF01061	TIGR01288;TIGR01291	COG1131;COG0842
329	PF03379;PF01578	TIGR01190;TIGR01191	COG0755;COG2386
