Tr20		PF16326|PF00324|PF08403|PF13906|PF00209|PF03491|PF05525	TIGR00906|TIGR04299|TIGR01773|TIGR00930|TIGR03810|TIGR00905|TIGR00911|TIGR00910|TIGR00913|TIGR00909|TIGR00796	COG0488|COG0833|COG1113|COG0733|COG1114
Tr200			TIGR04406	COG1137
Tr201		PF02705	TIGR00794	COG3158
Tr202		PF08627		
Tr203		PF11130	TIGR02746	
Tr204		PF16996		
Tr205				COG4168
Tr206		PF11711		
Tr207		PF03812	TIGR00793	
Tr208			TIGR01097|TIGR03431|TIGR01098|TIGR02315	COG3639|COG3221|COG3638
Tr209			TIGR00891	
Tr21		PF08314		
Tr210		PF03583		
Tr211				COG3822
Tr212				COG2893|COG3444
Tr213		PF03169	TIGR00733|TIGR00728|TIGR00727	
Tr214		PF09794		
Tr215		PF08619	TIGR00844	
Tr216		PF06738|PF12821		
Tr217		PF05638	TIGR03344	
Tr218				COG0396
Tr219		PF02535	TIGR00820	COG0428
Tr22		PF02667		COG2031
Tr220		PF07824		
Tr221		PF00955		
Tr222			TIGR04518	
Tr223				COG4586
Tr224		PF09822		
Tr225		PF10392		
Tr226		PF02374	TIGR00345	
Tr227		PF06609		
Tr228		PF02405	TIGR00056	COG0767|COG1127
Tr229		PF10304|PF10363		
Tr23			TIGR00792	COG2211
Tr230			TIGR00816	COG1275
Tr231		PF11728|PF06081		
Tr232		PF01306	TIGR00902|TIGR00882	
Tr233		PF03239		COG0672
Tr234				COG1119
Tr235		PF00916	TIGR00815	COG0659
Tr236		PF15305		
Tr237			TIGR01301	
Tr238			TIGR00907	
Tr239		PF00083|PF08946|PF13000	TIGR00887|TIGR00883|TIGR00898|TIGR00901|TIGR00879|TIGR00895|TIGR00897	COG0477
Tr24				COG3845|COG1079|COG4603
Tr240		PF06646		
Tr241		PF08626		
Tr242		PF13103|PF03544	TIGR01352	COG0810
Tr243		PF03219		
Tr244		PF11262|PF11732		
Tr245		PF10412		
Tr246		PF10604		
Tr247		PF11700		COG2270
Tr248		PF01544	TIGR00383	COG0598
Tr249		PF08988	TIGR02501	
Tr25		PF01298	TIGR01776|TIGR01779|TIGR01786|TIGR01785|TIGR01783	COG1629
Tr250		PF03605	TIGR00770	COG2704
Tr251		PF11203	TIGR03923	
Tr252				COG4619
