TCluster	PFAM	TIGRFAM	COG
T2	PF02361|PF01891|PF00005|PF08352|PF14510|PF02687|PF06472|PF00664|PF08370|PF06422|PF12558|PF01061	TIGR02454|TIGR03258|TIGR03740|TIGR01288|TIGR00968|TIGR04406|TIGR02142|TIGR02769|TIGR02203|TIGR02770|TIGR04520|TIGR04521|TIGR02857|TIGR01257|TIGR02315|TIGR01166|TIGR01846|TIGR01842|TIGR01277|TIGR02633|TIGR01727|TIGR00958|TIGR02868|TIGR00955|TIGR00954|TIGR01184|TIGR01187|TIGR01186|TIGR01189|TIGR01188|TIGR03005|TIGR02314|TIGR03265|TIGR01192|TIGR01193|TIGR01194|TIGR00972|TIGR00439|TIGR01728|TIGR01291|TIGR00025	COG0619|COG0310|COG1122|COG1131|COG1132|COG1135|COG1134|COG1137|COG1136|COG4525|COG0444|COG1129|COG1126|COG1127|COG1124|COG1125|COG1123|COG1120|COG1121|COG4172|COG4175|COG4138|COG4136|COG4133|COG4778|COG3638|COG4148|COG4619|COG0396|COG4987|COG5265|COG4559|COG4555|COG4988|COG4152|COG0715|COG0842|COG0411|COG0410|COG4167|COG4618|COG4161|COG4615|COG4608|COG4170|COG0488|COG4178|COG4604|COG3839|COG0577|COG1117|COG1116|COG1119|COG1118|COG4181|COG4107|COG4586|COG3845|COG3842|COG3840|COG2274|COG4598|COG4591|COG3127|COG1682
T3	PF00690|PF00689|PF12409|PF12424	TIGR01522|TIGR01523|TIGR01647|TIGR01106	COG0474
T0	PF03612|PF07663		COG3732
T1	PF01899	TIGR00942	COG1863
T69	PF04995	TIGR03141	COG3114
T68	PF01313	TIGR01403	COG4794
T65		TIGR01404	COG4792
T64	PF02653		COG1172|COG4214|COG4177|COG0559|COG4603|COG4211|COG4120|COG1079
T67	PF00209|PF03491		COG0733
T66	PF03797|PF12951|PF13018|PF05662|PF05658	TIGR01414|TIGR04415|TIGR02601	COG5571|COG3468
T61	PF03222|PF01490	TIGR00837|TIGR00814	COG0814
T60	PF00909	TIGR00836	COG0004
T63	PF11612	TIGR01711	COG4795
T62	PF03349		COG2067
T181		TIGR00896	COG2807
T180	PF05975		COG4473
